愛が,大好き！,キュアラブリー,誕生！
ひめとめぐみの,友情！,ハピネスチャージプリキュア,結成!!
秘密が,ばれちゃった!?,プリキュアの正体は,絶対秘密!!
転校生は,お姫様!!,ひめの,友達ゲット大作戦!!
めぐみと,ひめ！,仲良し,おたすけ大作戦!!
リボンの,優しさ!!,料理って愛情なんです!!
友情,全開!!,二人の新しい力!!
友情の,危機!!,ミスフォーチュンの不吉な予言!!
空手で,オッス!!,プリキュアパワーアップ!?
歌う,プリキュア！,キュアハニー登場!!
謎の,メッセージ！,キュアハニーの秘密!!
めぐみ,ピンチ！,プリキュア失格の危機!!
強敵,登場！,キュアフォーチュンvs(たい)プリキュアハンター！
ヒーロー,登場！,あいつはいかしたすごいやつ!!
お母さんに,逢いたい！,ひめブルースカイ王国に帰る！
私は,マスコミよ!!,プリキュアの秘密全部見せます!!
努力と,根性!!,めぐみと誠司の絆!!
みんなで幸せ,全力応援！,ぴかりが丘の結婚式!!
サッカー,対決！,チームプリキュア結成！
悲しい,過去!!,キュアフォーチュンの涙
ひめの,過去の過ち！,怒りのキュアフォーチュン！
新たな,変身!?フォーチュンの大いなる願い！
超,キンチョー！,いおなとひめ、はじめてのおつかい！
いおな,コーチの,プリキュア,パワーアップ大作戦！
恋に,ドキドキ！,プリキュア合宿,クライマックス！
迷子の,ふたり！,ひめと誠司の,大冒険！
悩める,ひめ！,プリキュアチーム,解散の危機!?
ハワイ,上陸！,アロ～ハプリキュア,登場！
アクシアの,真の姿！,シャイニングメイク,ドレッサー!!
ファントムの,秘策！,もう一人の,キュアラブリー！
まさかの,急接近!?,キュアハニーと,ファントム！
いおなの,初恋!?,イノセントフォーム,発動！
わたしも,なりたい！,めぐみの,イノセントさがし！
ひめ,大活躍!?,盛り上げよう！,はじめての文化祭
みんなで,おいしく！,ゆうこの,ハピネスデリバリー！
愛が,いっぱい！,めぐみの,イノセントバースデー！
やぶられた,ビッグバーン！,まさかの,強敵登場！
響け,4人の歌声！,イノセント・,プリフィケーション！
いおな,大ショック！,キュアテンダーの,旅立ち！
そこにある,幸せ！,プリキュアの,休日！
ミラージュ,のために！,ファントム,最後の戦い！
幻影帝国の,決戦！,プリキュアvs(たい),三幹部！
ぶつけあう,想い！,ラブリーと,ミラージュ！
新たなる,脅威!?,赤い,サイアーク!!
敵は,神様!?,衝撃の,クリスマス！
愛と憎しみの,バトル！,誠司vs(たい),プリキュア！
ありがとう,誠司！,愛から,生まれる力！
憎しみを,こえて！,誕生！,フォーエバーラブリー！
愛は,永遠に輝く！,みんな,幸せハピネス！
