私は,なる！,店長に,な～る！
あんに,お任せ！,ポップン,スイーツ
クロスが,いと？,COOL & ,HOT
プリズム,ストーン・,イースターに,ようこそ！
私の,歌は,色♡トリドリーム,
クールな,ハートが,ビートで,ヒート！
ガンコ,親父に,スイート,マジック
男の,勝負は,ダンス,バトル
プリズム,ライブは,晴れのち,嵐
謎の,生物 ,プリズムストーンに,現る！
Go for ,,ドリーミング,セッション！
はばたけ！,,勇気の,羽(フェザー)
心を,つなぐ,虹の,かけ橋
,,りんねの,秘密
おとはの,,メルヘン,ティーパーティー
わかな、,はっぴー,フリーダム！,にゃ
気高く,強く,べるは,咲く
俺は,ヒロ！,絶対アイドル☆,愛・N・G
,,心を結ぶ,いと
心,重ねて,ときめき,セッション！
,,2度目の,オーディション
約束と,,スペシャル,サンド
思い出,運ぶ,プリズムの,風
,,ひとりぼっちの,女王
,,さよなら、,べる
虹を,呼ぶ,ハッピー,レイン
,,ピコック先生 ,怒る！
ジュネ様と,一緒に,プリズム,トーク！
私は,べる！,店長に,な～る♪
,,誓いの,クロスロード
目指すは,勇者！,フリーダム!!,
愛に,羽ばたく,女神(ジュネ),
トライアングル・,デート,にゃ♡,
ハピなる,なら,手を,つなごう！
シャッフル,デュオで,ダメだ,こりゃ！
お泊り会で,ふたりは,めちゃウマ!?,
,,哀しみの,ラッキースター
聖夜に,ハッピー,ベルが,なる
湯けむり！,虹色,カッパ,伝説
W告白？,,好きです,先輩！
星が,つなぐ,絆,
なる,ピンチ！,消えた,ラブリン
,,天使の,決意
虹の,救世主は,君,ジャ！
,,薔薇の,革命
開幕！,,オーバー・ザ・レインボー,セッション
愛に,輝く,幸せの,星(ラッキースター)
私,らしく、,人間,らしく
,,命,燃え尽きるまで…
煌めきは,,あなたの,そばに
,GIFT,,
